"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9060","Posting a comment on a post","","Tue Aug 27 02:41:39 UTC 2024","passed","Tue Aug 27 02:41:48 UTC 2024","","Smoke Test","",""
"","10446","Creating a post with an existing title","","Tue Aug 27 02:42:01 UTC 2024","broken","Tue Aug 27 02:42:12 UTC 2024","","Smoke Test","",""
"","2760","Logout Test","","Tue Aug 27 02:40:28 UTC 2024","passed","Tue Aug 27 02:40:31 UTC 2024","","Smoke Test","",""
"","566","Posting a comment without logging in ","","Tue Aug 27 02:41:57 UTC 2024","passed","Tue Aug 27 02:41:58 UTC 2024","","Smoke Test","",""
"","10616","Removing a favorited article on the profile page","","Tue Aug 27 02:40:35 UTC 2024","broken","Tue Aug 27 02:40:45 UTC 2024","","Smoke Test","",""
"","2231","Login using invalid password","","Tue Aug 27 02:40:26 UTC 2024","passed","Tue Aug 27 02:40:28 UTC 2024","","Smoke Test","",""
"","10487","Unfollowing an author via the Full Post page","","Tue Aug 27 02:41:24 UTC 2024","broken","Tue Aug 27 02:41:35 UTC 2024","","Smoke Test","",""
"","3480","Posting an empty comment","","Tue Aug 27 02:41:58 UTC 2024","passed","Tue Aug 27 02:42:01 UTC 2024","","Smoke Test","",""
"","3905","Following an author without logging in","","Tue Aug 27 02:41:35 UTC 2024","passed","Tue Aug 27 02:41:39 UTC 2024","","Smoke Test","",""
"","10455","Editing a post","","Tue Aug 27 02:40:56 UTC 2024","broken","Tue Aug 27 02:41:07 UTC 2024","","Smoke Test","",""
"","10629","Deleting a post from the profile page","","Tue Aug 27 02:41:07 UTC 2024","broken","Tue Aug 27 02:41:17 UTC 2024","","Smoke Test","",""
"","3569","Liking a Post on the Main Page","","Tue Aug 27 02:40:31 UTC 2024","passed","Tue Aug 27 02:40:35 UTC 2024","","Smoke Test","",""
"","4762","Registration Test","","Tue Aug 27 02:40:16 UTC 2024","passed","Tue Aug 27 02:40:21 UTC 2024","","Smoke Test","",""
"","8218","Creating a Post","","Tue Aug 27 02:40:48 UTC 2024","passed","Tue Aug 27 02:40:56 UTC 2024","","Smoke Test","",""
"","9587","Deleting a comment","","Tue Aug 27 02:41:48 UTC 2024","passed","Tue Aug 27 02:41:57 UTC 2024","","Smoke Test","",""
"","7054","Following an author via the Profile page","","Tue Aug 27 02:41:17 UTC 2024","passed","Tue Aug 27 02:41:24 UTC 2024","","Smoke Test","",""
"","1646","Login using invalid email","","Tue Aug 27 02:40:24 UTC 2024","passed","Tue Aug 27 02:40:26 UTC 2024","","Smoke Test","",""
"","1129","Register as existing user","","Tue Aug 27 02:40:21 UTC 2024","passed","Tue Aug 27 02:40:22 UTC 2024","","Smoke Test","",""
"","2615","Liking a post without logging in","","Tue Aug 27 02:40:45 UTC 2024","passed","Tue Aug 27 02:40:48 UTC 2024","","Smoke Test","",""
"","2152","Login Test","","Tue Aug 27 02:40:22 UTC 2024","passed","Tue Aug 27 02:40:24 UTC 2024","","Smoke Test","",""
